rcn;id;acronym;status;programme;topics;frameworkProgramme;title;startDate;endDate;projectUrl;objective;totalCost;ecMaxContribution;call;fundingScheme;coordinator;coordinatorCountry;participants;participantCountries;subjects
11881;EV4V0111;EROS 2000;;FP1-ENVPROT 4C;;FP1;EUROPEAN RIVER OCEAN SYSTEM;01/02/1988;31/05/1990;;"TO INVESTIGATE THE BIOGEOCHEMICAL INTERACTIONS AFFECTING THE CYCLING AND TRANSFORMATION OF POLLUTANTS AND NUTRIENTS IN EUROPEAN COASTAL WATERS AND THEIR ENVIRONMENTAL IMPLICATIONS.

THE EROS 2000 PROJECT (EUROPEAN RIVER OCEAN SYSTEM) IS A LARGE-SCALE INTERDISCIPLINARY RESEARCH PROGRAMME BETWEEN 26 LABORATORIES FROM 11 EC-MEMBER STATES AIMING : 
- TO INVESTIGATE QUANTITATIVELY THE MAJOR SOURCES, CYCLES AND FATE OF NUTRIENTS AND MAJOR ORGANIC AND INORGANIC POLLUTANTS IN CONTRASTING EUROPEAN COASTAL REGIONS; 
- TO INVESTIGATE THE MECHANISMS AND RATES OF PROCESSES CONTROLLING BOTH THE BOUNDARY EXCHANGES AND THE INTERNAL CYCLING AND TRANSFORMATION OF METALS, NITROGEN AND ORGANICS; 
- TO STRENGHTEN THE SCIENTIFIC BASIS FOR THE MANAGEMENT OF WASTE DISPOSAL PROGRAMMES BY INTEGRATING THE CHEMICAL, BIOLOGICAL AND PHYSICAL RESULTS INTO PROCESS-SPECIFIC MODELS AND REGIONAL BIOGEOCHEMICAL MODELS IN REGARD TO INTERACTIONS BETWEEN NUTRIENTS AND POLLUTANTS. 

TO ACHIEVE THESE AIMS, EROS 2000 IS PLANNED AROUND THE FOLLOWING SUB-PROJECTS : 
I. INTEGRATION: MODELLING, STATISTICS AND REMOTE SENSING. 
II. BIO-ORGANIC PROCESSES: NUTRIENTS FLUXES AND EUTROPHICATION, ORGANIC POLLUTANTS AND BIOMARKERS. 
III. INORGANIC PROCESSES: INPUT, SPECIFICATION AND REACTIVITY OF TRACE METALS AND METALLOIDS. 
IV. PARTICULATES: SOURCES, TRANSPORT AND DEPOSITION RATES. 

IN ADDITION TO ASSESSING THE IMMEDIATE FATE OFF ANTHROPOGENIC POLLUTANTS, THE EROS 2000 PROJECT WILL ALSO ADDRESS A RANGE OF PROBLEMS OF STRATEGIC IMPORTANCE. ACCURATE EVALUATIONS OF RIVERINE INPUT WILL BE COMPARED TO ATMOSPHERIC INPUT DATA, AND ASSOCIATED PROCESSES WILL BE STUDIED IN ORDER TO IMPROVE THE KNOWLEDGE ABOUT CONTAMINATION PATHWAYS IN THE MARINE COASTAL ENVIRONMENT. STUDIES OF RELATIONSHIP BETWEEN BENTHIC PROCESSES AND PRIMARY PRODUCTION WILL CONTRIBUTE TO THE CONTROL OF LONG-TERM COASTAL EUTROPHICATION. DURING AN INITIAL PHASE OF TWO YEARS (1988-1989) THE EROS 2000 PROJECT WILL BE CARRIED OUT IN A PILOT ZONE LOCATED IN THE NW-MEDITERRANEAN SEA. AFTERWARDS IT IS ENVISAGED TO EXTEND THE PROJECT TO OTHER COASTAL REGIONS OF EUROPEAN SEAS.";;;;CSC;Centre National de la Recherche Scientifique (CNRS);FR;"University College Dublin;UNIVERSITY OF WALES - BANGOR;University of Southampton;Consiglio Nazionale delle Ricerche (CNR);NATIONAL RESEARCH COUNCIL OF ITALY;Consejo Superior de Investigaciones Cientòficas;INSTITUTO SUPERIOR TECNICO;FORSCHUNGSZENTRUM JUELICH GMBH;Netherlands Institute for Sea Research;UNIVERSITY OF AARHUS;NATIONAL AND KAPODISTRIAN UNIVERSITY OF ATHENS;UNIVERSITY OF HAMBURG;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITE DE LIEGE*ULG;THE UNIVERSITY OF LIVERPOOL;NERC Centre of Coastal and Marine Sciences";"IE;UK;IT;ES;PT;DE;NL;DK;EL;BE";
28481;ST2*0389;ILIHA;;FP1-STIMULATION 1C;;FP1;IBERIAN LITHOSPHERE HETEROGENEITY AND ANISOTROPY;01/06/1988;31/05/1992;;A large part of the lithosphere is to some extent seismically anisotrophic and laterally heterogeneous. Models that assume isotrophy and homogeneous geology are inadequate to explain details of lithospheric structure in complex areas - which are usually the ones of most interest. In the last ten years, much emphasis has been placed on learning more about these important features of the earth's crust and mantle. Most of this research has been carried out by earth scientists from European institutions. Moreover, many recent advances in this field have originated in Europe where the number of workers engaged in both practical and theoretical research is steadily increasing.;;;;CSC;Instituto Geográfico Nacional;ES;"Instituto y Observatorio de la Marina;INSTITUTO DE METEOROLOGIA;UNIVERSIDAD COMPLUTENSE DE MADRID;WISE & MUNRO LEARNING RESEARCH;Centre National de la Recherche Scientifique (CNRS);Consiglio Nazionale delle Ricerche (CNR);DUBLIN INSTITUTE FOR ADVANCED STUDIES;Generalitat de Catalunya;Instituto Nacional de Investigação Científica;UNIVERSITAT DE BARCELONA;UNIVERSITAET KARLSRUHE (TECHNISCHE HOCHSCHULE);UNIVERSITY OF COPENHAGEN;UNIVERSITE LOUIS PASTEUR, STRASBOURG 1";"ES;PT;NL;FR;IT;IE;DE;DK";
8407;419;IMU;;FP1-ESPRIT 1;;FP1;Image and Movement Understanding;01/12/1984;01/12/1989;;"Research in the IMU project was directed to understanding the computational bases of vision and movement, with particular reference to scene understanding and cursive script understanding. 
In scene understanding (based on stereo pairs or multiple views of pictorial images as input to the system), the project focused on the interface between the early stages of computation, which provide a rich but ambiguous description in terms of low-level features, and knowledge-based processing, which generates descriptions of the 3-D organisation of the visual world compatible with the properties of the physical world. Cognitive modelling techniques based on a functional description of objects and perce ptual rules were studied. The ultimate goal was to merge the data-driven and the knowledge-driven recognitionapproaches. 
 With regard to cursive script, basic knowledge still needs to be acquired about the mapping from linguistic material to hand trajectories; the aims of the project was to understand the writing process more than to recognise it. Techniques to code cursive script signals into symbolic descriptions were studied. 
Machine vision software (MAVIS) provides an image processing development environment with libraries aimed at normal and high performance requirements.

Research in the project was directed to understanding the computational bases of vision and movement, with particular reference to scene understanding and cursive script understanding. In scene understanding (based on stereo paris or multiple views of pictorial images as input to the system), the project focused on the interface between the early stages of computation, which provide a rich but ambiguous description in terms of low level features, and knowledge based processing, which generates descriptions of the 3-dimensional organization of the visual world compatible with the properties of the physical world. Cognitive modelling techniques based on a functional description of objects and perceptual rules were studied. The ultimate goal was to merge the data driven and the knowledge driven recognition approaches. With regard to cursive script, basic knowledge still needs to be acquired about the mapping from linguistic material to hand trajectories; the aim of the project was to understand the writing process more than to recognise it. Techniques to code cursive script signals into symbolic descriptions were studied. Basic libraries of computational modules that perform early processing of image data (including the integration of stereo and motion algorithms to obtain depth information) and cursive script data were developed. A portable interactive software environment was developed. This makes possible the generation and interrogation of multiple regional representations of images or image sequences (iconic representations, regional representations, contour representations). Cognitive driven modules that interface with low level representations of images using either basic perceptual rules for dealing with occlusions of surfaces in low level representations or semantic representations of objects for interpreting perceptual representations and describing scenes have been developed. The firmware necessary for the real time acquisition of sequences of stereo pairs o f images has been developed.
The following results were obtained: 
-Development of basic libraries of computational modules that perform early processing of image data (including the integration of stereo and motion algorithms to obtain depth information) and cursive script data. 
 -Development of a portable interactive software environment, VIS. This makes possible the generation and interrogation of multiple regional representations of images or image sequences (iconic representations, regional representations, contour representa tions). It has been implemented on PC-AT, Transputer network, 68020, VAX, etc. 
-Development of cognitive-driven modules that interface with low-level representations of images: 
.using basic perceptual rules for dealing with occlusions of surfaces in low level representations; 
.using semantic representations of objects for interpreting perceptual representations and describing scenes. 
-Development of the firmware necessary for the real-time acquisition of sequences of stereo pairs of images on the VDS Eidobrain workstation and the porting of VIS on the Eidobrain. 
Exploitation 
The results of the project will serve the R&D community, both academic and industrial, as conceptual and computational support when developing specific applications of image or movement analysis. Moreover, the VIS system, incorporating well-engineered implementations of advanced algorithms, could form the basis for a marketable product.";;;;;Università degli Studi di Genova;IT;"TRINITY COLLEGE DUBLIN;KATHOLIEKE UNIVERSITEIT NIJMEGEN;VIDEO DISPLAY SYSTEMS SRL;CAPTEC-COMPUTER APPLIED TECHNICS";"IE;NL;IT";
8882;1647;COSINE;;FP1-ESPRIT 1;;FP1;Cooperation for Open Systems Interconnection Networking in Europe;01/01/1990;01/01/1993;;"COSINE's aims are to: 
establish a pan-European computer-based network infrastructure that enables research workers to communicate with each other using Open Systems 
facilitate the introduction of and contribute to the market pull for Open Systems Interconnection (OSI) 
ensure that the infrastructure established becomes financially self-supporting. 

The project began with a specification phase undertaken by RARE (Rseaux Associs pour la Recherche Europenne) which concluded in autumn 1988. During 1989, work began on the implementation phase, again undertaken by RARE, which has established the COSINE Project Management Unit (CPMU) to carry out the work on its behalf. COSINE includes a number of subprojects and pilot services. The first pilot service to be available was the IXI X.25 backbone network. Several more are now underway, expanding on the ser vices already used at local and national level to bring Europe-wide connectivity in electronic mail, directories and information services. Further sub-projects and services are being established. The aim is that the complete infrastructure should be self-sustaining by the end of the COSINE implementation phase. 
The sub-projects being implemented are: 
ftam north american gateway 
international x.500 directory services (paradise) 
support and information service (concise) 
activities to support typical international user groups 
osi connectionless-mode network service trials. 
Contracts for ftam interoperability testing and full-screen terminal services sub-projects are under negotiation, and one on security mechanisms is being prepared. The pilot services provided to the user community are ixi and x.400 mhs message-handling services (interworking of national R&D management domains and US gateway).";;;;;RARE;NL;"Garr;HEANET;JANET;RCCN;ARIADNE;VUB-ULB;SURFNET;COSINE;SWITCH;NORDUnet;ACOnet;REUNIR;DFN";"IT;IE";
8441;1510;PALABRE;;FP1-ESPRIT 1;;FP1;Integration of Artificial Intelligence, Vocal I/O and Natural Language Dialogue: Application to Directory Services;10/03/1986;10/03/1990;;"The PALABRE project aimed to define and realise an acquisition and interrogation system for a large and evolving knowledge base. Information, interrogation and updating were performed using natural language. The input-outputs were to be either textual or vocal (speech understanding and synthesis). Common tools and methods were to be developed independently so that several languages (French, English, Italian) could be used. Requests were to be converted with the help of inference rules and sent to an intelligent retrieval process based on semantic knowledge representation. LISP and PROLOG on a LISP machine were used. The feasibility of such a system were to be demonstrated through a phone directory 'Yellow Pages' prototype application in Italian, English and French. . 
The project aimed to define and realise an acquisition and interrogation system for a large and evolving knowledge base. Information, interrogation and updating were performed using natural language. The input/outputs were either textual or vocal (speech understanding and synthesis). Common tools and methods were developed independently so that several languages (French, English, Italian) could be used. Requests were converted with the help of interference rules and sent to an intelligent retrieval process based on semantic knowledge representation. LISP and PROLOG on a LISP machine were used. Different parts of the system were identified and their interfaces defined. The general architecture was based on a blackboard approach to combine several sources of knowledge. Two different approaches were proposed to parse a query set by the user: a deterministic parser for written input, and an augmented transition network parser for spoken input. The knowledge was represented using KL-ONE. The deduction module allowing the interpretation of a user query by the knowledge base and the answer generation module were investigated.
Different parts of the system were identified and their interfaces defined. The general architecture was based on a blackboard approach to combine several sources of knowledge. Two different approaches were proposed to parse a query inputted by the user: a deterministic parser for written input, and an augmented transition network parser for spoken input. The knowledge was represented using KL-ONE. The deduction module allowing the interpretation of a user query by the knowledge-base and the answer generation module were investigated. 
Exploitations 
PALABRE served as a preliminary study for subsequent projects in the field of speech processing.";;;;;SOCIETE ETUDES SYSTEMS AUTOMATIONS (SESA);FR;"CNET France Télécom;Centre National de la Recherche Scientifique (CNRS);Sarin Telematica SpA;British Telecom plc (BT);GSI-ERLI";"FR;IT;UK";
8738;28;MULTOS;;FP1-ESPRIT 1;;FP1;A Multimedia Filing System;01/02/1985;01/02/1990;;"The aim of MULTOS was to develop an efficient and cost-effective system for filing and retrieving multimedia documents in the office environment. 
The MULTOS approach to office document filing and retrieval is intended to support applications where the processing of information is distributed, large volumes of documents are stored, and powerful retrieval by document contents (such as user-defined attributes, text and graphic images) is needed. 
Much of the processing within the MULTOS system is based on a conceptual model supporting a semantic-oriented description of documents. This semantic document representation is the basis for MULTOS's content-oriented processing, classification and retrieval techniques. The European standard for an Office Document Architecture (ODA) was adopted as the document interchange format (ODIF). The ODA model was also extended by providing conceptual description features more suitable for efficient retrieval by content. 
The main aspects of the project included document modelling, document type handling, query language design and query processing optimisation, image data modelling and retrieval, knowledge-based document classification, document management, indexing techniques, optical storage exploitation and support for user/system interaction. The main objectives were to: 
-develop an efficient and cost-effective system for the filing and retrieval of multimedia documents 
-integrate optical storage media for filing large numbers of documents 
-implement techniques for the content-based retrieval of text and attribute data and investigate techniques for the content-based retrieval of image data 
-investigate and implement knowledge-based techniques for automatic document classification 
-implement document management functions such as access control, security, integrity and version support 
-define a multimedia document model for document filing and retrieval 
-develop an application environment to test and evaluate the MULTOS system's capabilities. 
The aim of the multimedia filing system (MULTOS) was to develop an efficient and cost effective system for filing and retrieving multimedia documents in the office environment.

The MULTOS system is based on a client/server architecture. The user interacts with the system through the client subsystem, which provides a user friendly interface for document preparation, document acquisition, query formulation, document display and printing. The requests are issued to the server. There are 2 types of document servers, related to 2 groups of documents with different retrieval requirements. In the dynamic server, the documents can be updated and frequently accessed; in the archive server, the documents are stable and less frequently accessed. Document filing in the dynamic server is done using magnetic storage; the archive server integrates magnetic and WORM optical disks. Documents created or acquired in the Client environment can be classified either manually or automatically. The classification allows parts of the document to be associated with conceptual components for use in retrieving the documents later. Automatic classification is based on predicates associated with document conceptual components. Logical, layout and domain specific information is used during automatic classification.

Graphic images are analysed and the objects composing the image automatically extracted. Image analysis is based on user defined application domains. 2 different approaches to image analysis and retrieval have been experimented with. A first MULTOS prototype was implemented in 1987. The final prototype provides complete system functionality.
The MULTOS system is based on a Client/Server architecture. The user interacts with the system through the Client subsystem, which provides a friendly user interface for document preparation, document acquisition, query formulation, document display and printing. The requests are issued to the Server.There are two types of document servers, related to two groups of documents with different retrieval requirements. In the dynamic server, the documents can be updated and frequently accessed; in the archive server, the documents are stable and less frequently accessed. Document filing in the dynamic server is done using magnetic storage; the archive server integrates magnetic and WORM optical disks. 
Documents created or acquired in the Client environment can be classified either manually or automatically. The classification allows parts of the document to be associated with conceptual components for use in retrieving the documents later. Automatic classification is based on predicates associated with document conceptual components. Logical, layout and domain-specific information is used during automatic classification. 
Graphic images are analysed and the objects composing the image automatically extracted. Image analysis is based on user-defined application domains. Two different approaches to image analysis and retrieval have been experimented with. 
 A first MULTOS prototype was implemented in 1987 and demonstrated at the 1987 ESPRIT Conference. It supported dynamic and archive filing (integrating WORM optical disks) for documents containing text components only. The final prototype provides complete system functionality: multimedia documents can be created in the Client subsystem, classified automatically, and stored on the Server subsystem. The same documents can be retrieved using text, image and document attributes. 
Exploitation 
A pilot application has been developed using the MULTOS system. The application is based on a newspaper scenario. It demonstrates the capabilities of MULTOS system in real office environments and allows its evaluation. 
Many papers have been published about the project in international journals. The consortium recently published Multimedia Office Filing and Retrieval: The MULTOS Approach, edited by  C. Thanos, in the North-Holland series Human Factors in Information Technology.";;;;;Ingegneria C. Olivetti and C. SpA;IT;"Battelle-Institut eV;ERITEL S.A.;TRIUMPH ADLER AG;CRETAN COMPUTER INSTITUTE;EPSILON SOFTWARE LTD;PHILIPS DUPONT OPTICAL;NATIONAL RESEARCH COUNCIL OF ITALY";"DE;ES;EL;NL;IT";
8320;477;COSIMA;;FP1-ESPRIT 1;;FP1;Control Systems for Integrated Manufacturing;01/01/1985;01/01/1990;;"The objective of this project was to design, develop and test the software modules required for the Production Activity Control (PAC) of small batch manufacturing. The main aims of COSIMA were to: 
-define a standard architecture for PAC in discrete parts manufacturing 
-demonstrate that the solution is suitable for different small batch manufacturing environments 
-develop design and integration tools to support engineers in analysing, designing and developing PAC systems. 
The objective of this project was to design, develop and test the software modules required for the production activity control (PAC) of small batch manufacturing. The PAC architecture that was specified and designed during the first half of the project can integrate the following components:
5 basic building blocks to perform the activities demanded in PAC (monitoring, scheduling, dispatching, moving, producing);
a manufacturing profile to collect the static and dynamic data describing the system layout and behaviour;
a Petri-net simulator to model the reactions of the real system to the PAC commands;
an application network, implementing procedural application sequencing and system wide data management (through a manufacturing data dictionary), to interconnect all the above components.

In the second half of the project the architecture was validated through 3 pilot implementations:
a flexible manufacturing system for robots and work cell standard components production;
an assembly line for electronic boards production;
a part production system for car components.

The application network, a complete set of technical specifications, the final implementation guides and 2 books are the tools available to the partners for designing and implementing similar systems.
The PAC architecture that was specified and designed during the first half of the project can integrate the following components: 
-five basic building blocks to perform the activities demanded in PAC (monitoring, scheduling, dispatching, moving, producing) 
-a manufacturing profile to collect the static and dynamic data describing the system layout and behaviour 
-a Petri-net simulator to model the reactions of the real system to the PAC commands 
-an application network, implementing procedural application sequencing and system-wide data-management (through a manufacturing data dictionary), to interconnect all the above components. 
In the second half of the project the architecture was validated through three pilot implementations: 
-a flexible manufacturing system for robots and work-cell standard components production in the COMAU Grugliasco (I) plant. 
-an assembly line for electronic boards production in the DEC Clonmel (IRL) plant. 
-a part production system for car components in the Renault Cleon (F) plant. 
The application network, a complete set of technical specifications, the final implementation guides and two books are the tools available to the partners for designing and implementing similar systems. 
Exploitation 
The project has produced several spin-offs: 
-the study of proprietary products such as COMAU's CIMtegrator software platform and DEC's CDD\ Data Dictionary has been influenced by the COSIMA architecture and by the application network manufacturing data dictionary 
-European companies such as Unilever, Volvo and Philips have demonstrated a tangible interest in COSIMA implementations 
-the analysis made by DEC and by the CIMRU of the University College of Galway of applying the COSIMA architecture in the Clonmel pilot implementation has been used to create a parallel PAC implementation (PACKETS: PAC Kernel in Objects) and a Petri-netsimulator that introduced the partners to object-oriented and Petri-net modelling and implementation techniques.";;;;;Comau SpA;IT;"Digital Equipment GmbH;Renault Automation";"DE;FR";
8573;1563;ACAFS;;FP1-ESPRIT 1;;FP1;Automatic Control of an ASIC Fabrication Sequence as Demonstrated in the Plasma Etch Area;01/04/1987;01/12/1990;;"The objective of ACAFS was to develop a methodology and to acquire know-how for a wafer fabrication sequence control system. Because of its critical nature, the plasma etch area was the one chosen in which to implement the methodology. The work involved s everal domains, such as optical sensor integration for 'smart' information collection, plasma etching process modelling for control and supervision purposes, communication between equipment manipulators and computers, as well as hardware and software for real-time processing control. Recent powerful techniques in model identification, multivariable process control and artificial intelligence were used to efficiently address the various control, supervision, and decision-making problems related to the proposed hierarchical control structure. 
In the field of thin film industries, the in situ control of layer thickness has become of great importance in monitoring, in real time, the process parameters during processing or for stopping the process when layers have reached the desired thickness. The technique developed is based on the measurement of the spectral reflectivity of a multilayer sample irradiated with a white light beam. The spectrum of the reflected light is sent to a computer which computes the optical parameters of the thin film stack and especially the thickness. The incident and reflected light are driven through optical fibres.
 This technique presents several advantages such as resolution, sensitivity, ease of use and cost over the other current methods.

The objective was to develop a methodology for a wafer fabrication sequence control system. Because of its critical nature, the plasma etch area was the one chosen in which to implement the methodology. Recent powerful techniques in model identification, multivariable process control and artificial intelligence were used to address the various control, supervision, and decision making problems related to the proposed hierarchical control structure. Software was developed to control the plasma etch process parameters online, in a closed loop. The purpose of the controller software was to improve process reliability and reactor yield. Work on extracting the parameters affecting the yield and on developing models, using statistical process control (SPC) methods, to predict etch process results from process parameters was completed. Effort was devoted to transparent layer plasma etching processes. Effort was devoted to transparent layer plasma etching processes. An in situ layer thickness probe based on white light interferometry and a single point interferometer for end point detection were designed. The highly sensitive metallization etching was chosen as the process to be used in the final demonstrator of the whole automatic control concept. Optical emission spectroscopy was studied for in situ etch rate and uniformity monitoring purposes, and it was demonstrated that it can be successfully used for this purpose. Added emphasis was put on enhancing the fault detection and machine maintenance scheduling capabilities of the system. Appropriate supervision software was developed. The closed loop control concept was validated. An evaluation of various automated product tracking and transfer approaches was made. An overview of the different techniques available for in situ wafer surfacestemperature measurement during plasma etching will be provided.
Software was developed to control the plasma etch process parameters online, in a closed loop. The software runs on a PC connected to the etcher via a SECS II link. The PC receives information such as etch-rate or uniformity from an in situ sensor and compares this with a theoretical model in order to adjust the process parameters in real time. The purpose of the controller software was to improve process reliability and reactor yield. 
Work on extracting the parameters affecting the yield and on developing models, using statistical process control (SPC) methods, to predict etch process results from process parameters was completed. The necessary studies were realised on appropriate teststructures. 
During the first two years, effort was devoted to transparent (SiO2 and polysilicon) layer plasma etching processes. An in situ layer thickness probe based on white light interferometry and a single-point interferometer for end-point detection were designed. 
Based on the experience of the first two-year period, the highly sensitive metallisation etching was chosen as the process to be used in the final demonstrator of the whole automatic control concept. Optical emission spectroscopy was studied for in situ etch-rate and uniformity monitoring purposes, and it was demonstrated that it can be successfully used for this purpose. 
Over the last 16-month period added emphasis was put on enhancing the fault detection and machine maintenance scheduling capabilities of the system. Appropriate supervision software was developed. The closed loop control concept was validated at Plasma Technology on an RIE reactor. The whole automated control system and its impact on yield was planned to be demonstrated at the ES2 production line on a new ECR etcher under development by Plasma Technology. However, due to technical problems in the etcher development, the demonstration was not possible, and the project was terminated four months before its planned completion-date. 
An evaluation of various automated product tracking and transfer approaches was made in the first two years. Furthermore, an overview of the different techniques available for in situ wafer surface temperature measurement during plasma etching will be provided. 
Exploitation 
The layer thickness and end-point detection probes developed will be commercialised by Bertin & Cie and Leybold Heraeus, respectively. Plasma Technology (now called Oxford Plasma Technology) is already using the PC controller developed on all its new lineetchers. The user companies, Mietec and ES2, developed methodologies and tools for plasma etch process modelling and general statistical process control, which they are using routinely in new process development. 
Bertin & Cie is planning to market the two software packages on equipment maintenance and fault detection it developed, and is also actively looking for partners to implement the closed loop control system in a production environment.";;;;;Bertin & Cie;FR;"MIETEC NV;LEYBOLD HERAEUS GMBH;European Silicon Structures SA;Plasma Technology Ltd";"BE;DE;FR;UK";
8405;1490;SIP;;FP1-ESPRIT 1;;FP1;Advanced Algorithms and Architectures for Speech and Image Processing;16/09/1984;16/09/1989;;"The objective of SIP was to develop the algorithmic and architectural techniques required for recognising and understanding spoken and visual signals, and to demonstrate these techniques by means of suitable applications. 
The work was planned in three parallel areas: speech analysis, image analysis and pattern recognition and understanding. 
With respect to speech, the initial application target was to extend as far as possible current state-of-the-art techniques for speech recognition. The resulting system was to be tested using a vocabulary of the order of 1,000 words with constrained syntax and using continuous speech. 
For image processing, the project attempted to go beyond treating the image merely as sampled data. Applications involved in medical imagery and industrial inspections were used to test the tools and to study architectural and implementation issues. At the higher level of processing, close commonality can be expected between techniques for speech and image processing. Subsequent work will study architectures suitable for the higher levels, which can interface with the lower level systems. 
Algorithms and prototype equipment are available for recognition of continuous speaker dependent speech and for understanding phrases within restricted semantic domain, and also for image feature extraction and recognition. Applications are in fields such as medicine, robotics and telecommunications.
A prototype was made available on 29/03/89
The operating environment is as follows :
Hardware: special hardware coupled with Symbolics

The objective of speech and image processing (SIP) was to develop the algorithmic and architectural techniques required for recognising and understanding spoken and visual signals and to demonstrate these techniques by means of suitable applications. The work was planned in 3 parallel areas: speech analysis, image analysis and pattern recognition and understanding.
Progress on speech processing was made along 2 complementary lines: a statistical approach and a knowledge based approach. Preliminary results were obtained from the statistical approach, based on a first implementation, using very large lexicons. For the knowledge base approach, a methodology for representation of the lexical and acoustical knowledge was chosen. In addition, the architecture of the acoustical front end was realized and the first digital signal processing boards tested.
A coordinated set of algorithms and architectures for image recognition and understanding was developed and demonstrated. Layer approaches based on single instruction multiple data (SIMD) and multiple instruction multiple data (MIMD) machine were realized for image feature extraction.
Implementation aspects of the physical architecture for high level processing based on transputers fully interconnected through a switching network were analyzed in detail. A switching element for nonlocal communication was designed outside the project, and the first building-block, comprising 2 processing elements and a hardware emulation of the interconnection network, is now available.
Progress on speech processing was made along two complementary lines: a statistical approach and a knowledge-based approach. Preliminary results were obtained from the statistical approach, based on a first implementation, using very large lexicons. For the knowledge-based approach, a methodology for representation of the lexical and acoustical knowledge was chosen. In addition, the architecture of the acoustical front-end was realised and the first digital signal processing boards tested. The lexical access and the verification based on a Hidden Markov Model were demonstrated on a VAX machine on a set of short sentences uttered by a single speaker in a noisy environment. Methods to incorporate syntactic and semantic information were studied to achieve understanding of uttered sentences. A small question-answering system running on a Symbolics machine was demonstrated. The system starts from the word lattice produced by the speech system, builds a representation of the query-using syntax and semantics, and  inally answers the query. 
A coordinated set of algorithms and architectures for image recognition and understanding was developed and demonstrated. Layer approaches based on Single Instruction Multiple Data (SIMD) and Multiple Instruction Multiple Data (MIMD) machine were realised for image feature extraction. A heterogeneous approach was taken, linking a SIMD GAPP array for the low-level processing and an MIMD transputer-based machine or an array processor for the medium-level processing. The interfaces and the I/O of the data we re developed and optimised. Estimates of performance were derived from a set of algorithms running on the different parts of the architecture. This was improved by setting up real benchmarks. Specific work was done to provide a coordinated set of algorithmic tools for digital angiography applications. 
 Implementation aspects of the physical architecture for high-level processing based on transputers fully interconnected through a switching network were analysed in detail; a switching element for non-local communication was designed outside the project, and the first building-block, comprising two processing elements and a hardware emulation of the interconnection network, is now available. 
PIPES, the first prototype realisation of a Prolog transputer-based machine where the transputers are fully interconnected using a packet-switched network, was demonstrated. It will be implemented on the high-level architecture for speech and image understanding and applied to real-time tasks. 
Exploitation 
SIP has been the source of applications in sound, vision and robotics through the development of a coordinated set of algorithms and architectures for image recognition and understanding. It provides the foundation for applications in medicine, in industry and in other domains. Project results also support the development of intelligent workstations to support both graphic and image processing. 
The successful combination of statistical techniques and knowledge-based techniques for speech recognition will result in a major breakthrough in the field. The complete real-time stand-alone system displaying spoken Italian which is now under developmentwill be adapted for French and German.";;;;;Centro Studi e Laboratori Telecomunicazioni SpA;IT;"Thomson CSF;Université de Strasbourg I (Université Louis Pasteur);Daimler-Benz AG;GEC-Marconi Materials Technology Ltd";"FR;DE;UK";
8649;1620;ASTRA;;FP1-ESPRIT 1;;FP1;Advanced and Integrated Office Systems Prototypes for European Public Administrations;01/02/1986;01/02/1990;;"The main objectives of the ASTRA project were to contribute to the common understanding of office automation problems in public administrations in different European countries, and to integrate state-of-the-art technology, concepts and results. 
The project consisted of the following phases: 
-definition of user requirements for a system supporting different types of objects 
-definition of an office model with the identification of functional blocks and cooperation strategies 
-implementation and assembly of components 
-development of a prototype system. 
The prototype makes use of advanced storage and retrieval systems based on optical discs. The results of the project were targeted at the public administrations of European member states. 
The main objective of the advanced and integrated office systems prototypes for European public administrations (ASTRA) project were to contribute to the common understanding of office automations problems in public administrations in different European countries, and to integrate state of the art technology, concepts and results.

The methodology was defined for the analysis of user requirements in the 4 partner states, the user requirements analysis completed in the selected public adminstrations, and a synthesis of requirements achieved. The technological basis for the prototypes was also established.

Procedures, standards and technqiues for public administration information systems can be derived from the project results. The main target was the integration of large scale information handling within national bodies. The information flow has primarily been supported through the processing of multimedia documents. A document specification has been established for document filing and retrieval, covering the document viewed as a set of frames and with a document profile attached.

The hardware and system software specification was completed. A prototype has been established based on the Olivetti and Bull hardware and system software in an open system. The application software specification has also been completed; it is based on a client server model, concentrated on the processing of multimedia documents.
The methodology was defined for the analysis of user requirements in the four partner states, the user requirements analysis completed in the selected public administrations, and a synthesis of requirements achieved. The technological basis for the prototypes was also established. 
Procedures, standards and techniques for public administration information systems can be derived from the project results. The main target would be the integration of large-scale information handling within national bodies. 
The information flow has primarily been supported through the processing of multimedia documents. An ASTRA document specification has been established for document filing and retrieval, covering the document viewed as a set of frames and with a document profile attached. 
 The hardware and system software specification was completed. A prototype has been established based on the Olivetti and Bull hardware and system software in an open system. The application software specification has also been completed; it is based on a client-server model, concentrated on the processing of multimedia documents. The client-servers cover the following functionalities: archive, directory, file, mail (X.400) and print. 
Guidelines for the design of office information systems in the public sector have also been produced. The ASTRA project's results were demonstrated at the 1989 ESPRIT Conference and the 1990 Hannover Fair.";;;;;Società Generale d'Informatica SpA;IT;"Ingegneria C. Olivetti and C. SpA;PLANET SA;Syntax Sistemi Software SpA;MC2;Datenzentrale Schleswig-Holstein;BULL SA;I/S DATACENTRALEN AF 1959;GSI TECSI Software SA;Silogia;Consorzio Campano di Ricerca per l'Informatica e l'Automazione Industriale;CESIA";"IT;EL;FR;DE;DK";
